review,sentiment
这次是308的行政大床，总体感觉非常不错，就是价格稍许高了点，旁边有个五星的豪华客房才398。估计小天鹅也只有这个房型以上的，看得过去，以前住过的房间实在是很差。以后大家如果要住这里，还是选这个行政大床吧！,中立
好像跟洪崖洞酒店一个公司的，所以房间的风格比较接近，就是小一些，整体来说比较不错，房间内食品都是免费，很实在。就是早餐实在不敢恭维，大堂环境比较差。整体来说不错，属于比较好的三星级酒店。,中立
前台楼层服务员都不错，房间安静整洁，交通方便，吃的周围也挺多．唯一不足，卫生间地漏设计不好，导致少量积水．,中立
这个宾馆总体感觉还不错，无论从价格、出行、购物，还是订机票（国航就在它的右边）都很方便。只是房间没有什么电脑，也不知道它说的免费上网在什么地方可以。补充点评2007年10月12日：对了，去机场也很方便，机场大巴就在它下面，每半个小时一趟,积极
"价格偏高,服务一般.窗外风景ok.早餐还不错",中立
酒店正在申定五星中，不过目前看来四星都有点勉强。大堂很气派，不过细节很粗糙。硬件需要加强。服务人员礼貌热情。酒店的房间和早餐都还不错。,中立
闹中取静的一个地方，在窗前能看到不错的风景。酒店价格的确有些偏高,中立
"价格偏高,好象连云港这地方的酒店都偏贵.早饭不好.房间还不错,窗外风景还行.最重要是房间的窗户很隔音.床小,还是明珠万豪的床好些.",中立
知道网线接口在哪儿吗？比高家庄的地道口还隐蔽。在床头柜后面！想不道吧？看你怎么用。1：自带4米以上网线；2：自带小板凳：3：房间的垃圾桶可翻过来坐......,中立
沈阳市政府的酒店，比较大气，交通便利，出门往左就是北陵公园，环境好。,积极
"政府酒店感觉很气派,而且很干净,整个酒店的房间布局也很整齐.5月份入住的,由于第一天房间不能上网,和前台协调又换了一间可以上网的,还帮忙调试了笔记本,服务很周到.正好住的两天都有人结婚,感觉酒店一楼的宴会厅很适合婚礼",中立
"总体还可以,就是前台服务员还不够敬业,在登记入住后,看都没看是不是本人,就把我客人的护照给了其它人,幸亏就在旁边,要不然不知后果怎样,之后连说声不好意思,或对不起都没有!!!希望改进!!!",消极
6月下旬去丹东，在携程网上预定了丹东国际酒店2天的住宿。24日傍晚抵丹东，便打车去酒店。丹东城市不大，一说国际酒店，司机都知道。酒店在一条不起眼的小街上，周围环境一般。到总台一问，接待员说没有收到携程的预定单。我给他们看了手机收到的携程确认短信，接待员说那好吧，就按携程预定价住下吧。我说，能不能给个朝鸭绿江的房间，接待查了一下电脑，说可以，不过房间小了点，我说没关系，反正一个人住。安排的是15层（接待员还真满足了客人看江的要求），进了房间，往窗外一看，蜿蜒的鸭绿江就在眼前，朝鲜一侧的房屋和农田也清晰可见，稍远处隐约可见鸭绿江桥！房间略显旧了些，但床、被还较整洁、干净。这江景房的性价比应该是超值的！想当年国际酒店在丹东大概是数一数二的，现在来看，装修上比不上新开业的，大堂不太光亮，楼层的电梯口也只开了一小部分灯光，但服务上还不错。服务员遇到客人都会问好。特别值得一提的是23楼的旋转餐厅，可以与深圳国贸和上海新锦江顶楼的旋转餐厅相比拼！毕竟是在丹东那么一个边境小城里。20元的自助早餐较丰盛，再加上可以面对鸭绿江，饱览异国风光（尽管是农田沙洲景色）。在丹东国际酒店2天的停留还是给我留下来不错的印象。,中立
这次去北京，是要去北师大办事，所以特意留意了下附近的宾馆。住了两天，首先该宾馆很好找，离西四大街很近，公交车护国寺站下步行两分钟就到。因离公交站近，去哪坐公交都方便，很省钱省事。宾馆外有很多小吃店，价位比王府井小吃街要便宜，护国寺街上报刊厅、2毛一分钟的公用长途电话、水果摊、24小时便利店、网吧应有尽有，很方便。房间很干净，在这方面，在北京住过的几个三星级的还不如这家二星级的。房间暖气也开得足够，缺点就是冲澡时水温太低，而且忽冷忽热，不知道是什么原因。卫生间的插座不能充电，窗头柜下没插座，所以只能在电视机柜后充电，不太方便。另宾馆对面的烟酒店里的烟不能买，多是假的。宾馆服务员都很热情，让人感觉很好。推荐一个！,中立
"房间设备太破,连喷头都是不好用,空调几乎感觉不到,虽然我开了最大另外就是设备维修不及时,洗澡用品感觉都是廉价货,味道很奇怪的洗头液等等...总体感觉服务还可以,设备招待所水平...",消极
总体感觉不错，美中不足的是房与房之间隔音效果不太好，还有房价感觉稍高。,中立
"设施虽稍陈旧一些,但良好的服务给人温暖.酒店所处地理位置和环境极好.对年龄较大的个人旅游者而言,入住该酒店不失为较佳选择.",积极
房间比较干净，卫生间太小，转身都费劲。地理位置一半，因在胡同里，不容易找到。服务一般。,中立
今天刚从武义回来，特别来说一下入住的新宇明招温泉国际大酒店1/12:00左右到达的酒店，checkin的时候被告知我们订的商务大床房没了，只剩下标房。（因为是在携程上预定的，所以钱已经付掉了）之后，我们的领队和他们的销售人员去核对订单，查下来发现我们确实是订了商务大床房，再让我们等了半个多小时之后，终于给了我们别人刚退的房间。之后，由于要清洁，我们又在门外等了二十多分钟，终于进了房。2/因晚上19：00有泡温泉的安排，所以想早些解决晚餐。17：20的时候拨打客房送餐服务，服务人员说这段时间没有送餐服务。我想可能节日期间比较忙，也就没有在意。那我们就直奔餐厅，17：30点完菜直到一小时之后上了第一个菜，其他客人的桌子上也是放着一两个空盘子，并无上菜迹象。其间催了小姐好几次，完全置之不理。因为赶时间，我只能亲自跑到厨房间，催着他们把一个菜送出来，然后自己把菜端上桌。这个时候，已将近七点，我们决定买单，其他没有上的菜不要了，即使肚子还是空空的。之后里面的小姐端着不知谁家的菜，一个个桌子的问，场面之混乱，实在令人啼笑皆非。3/浴室的水温不稳定。要么很烫，没有触碰笼头的情况下，又一下子变得很凉。以上这些因素直接影响了我们在旅途中的心情，作为一家四星级的酒店，实在很难想象它的服务竟是如此，希望能有所改进！,中立
酒店房间太烂。服务一般。地点也差。房间小，卫生间小，居然还是蹲便。。。,消极
四星级酒店，符合标准的地方我就不提了，有以下缺点：1.标间不提供免费瓶装水（吧台内的瓶装水8元一瓶）2.距离市区远，根本无法打到车，且不提供叫车服务3.其它餐不知，早餐巨差免费注册网站导航宾馆索引服务说明关于携程诚聘英才代理合作,中立
"酒店在西宁来说还是比较满意的,首先,地理位置不错,人口素质还不错.其次,房间设置虽然比较简单,但基本达到四星标准.第三,不满意的地方就是服务问题.各位先前入住酒店的朋友已经提到了,我需要补充的是,前台的女服务员还没有男服务生热情.基本不属于不会笑的或者是比较会耍NB的.按照对方理论,谁让我们是外地人呢,人家能给我们个地儿住就不错了.最后,我要说的是,早餐只有中餐,虽是自助,但基本没有办法评论,我只提一点,早餐的橙汁是热的,原来是用市场上早已绝迹的TANG果珍冲泡的.所以房间我给3分,环境给4分外,都是1分.",中立
"第一次去西宁，通过携程定的房间。我住的一个房间,卫生间的味道非常大,另外前台有个别服务员服务生硬,象是黑脸的包公,位置也较偏，总体来说与四星级的标准差距很大,性价比也不高。不知道携程怎么会把它定为银牌酒店，因为在西宁也没有住过其它酒店。",消极
"服务一般,房间太差了点,里面东西太旧了,妈妈的,还要这么贵,四星根本达不到嘛,第二天终于忍不住,换了个酒店.",消极
办理入住手续时花了30分钟以上，且服务态度不佳，地理位置也不是太好，不推荐！,消极
网速快，且方便VPN连到公司内部网，IT负责人把网络设置得不错，表扬一下。但前台服务员态度达不到满意的标准。酒店没有熨斗，因要见客户，只得拜托熨一件衬衫，说了5块，结帐时却要价8块，说是服务费和加急费要3块。打开玻璃淋浴间的门，才发觉右手至少要有2米长才可够得着浴巾，只好滴着水出来拿。琢磨了一下，浴巾也不能带进小小的淋浴间呀，不知谁设计的。没找到比其他宾馆更多的优点，560块大洋花得有点冤，不再来了。,中立
房间很旧，很差，后来我就换酒店了，不到3星标准。宾馆反馈2008年7月22日：请您提出具体的方面！我们将尽力完善改正！谢谢！,消极
购物较方便，上外滩也近，但房间太小。没有早餐不方便，较为嘈杂，装修较老,消极
我们在天津玩三天，就这家酒店最差。首先管理混乱，到达酒店各种原因解释没有你想订的房间，入住房间通风极差，控制开关老化失灵，晚上睡觉想关灯只能拧灯泡，前台服务态度糟糕透了，一家严重影响天津形象的酒店。,消极
"该洒店设施不全且不洁净,让客户感觉不太敢放心使用,且服务人员态度不是太好,早上入住客人收拾房间的速度太慢",消极
很失望，不知道那四颗星是怎么得来的。住的单人标间，328，房间很小。一直有流水的声音，可能是暖气?隔音也很差，我房间隔壁是服务生房间，一大早就开始活动，分配工作什么的，吵醒我，再也没机会睡着。房间的小冰箱里只有可乐，晚上想喝啤酒的要注意了，自己带。早餐种类不少，就是餐厅太冷了，因为我去晚了？早餐也都凉了。,消极
酒店位置较差，交通极其不便。房间较小，顶多三星级标准，周边环境较差。我是住上后，感觉不太好，在下午6点前退房，结果要收全价，真令人失望。,消极
"用携程那么多年,这次太让我失望了,也让我丢尽了脸.本来是想住最好的酒店,结果是一肚子火.酒店是建在居民区内的,周围环境可想而知.开业都快半年了,还是处在试营业期,房间还可以,卫生间糟糕透了.下水管排水不畅,淋浴房估计只有一个平方,而且放洗发液的地方都没有,卫生间也小的可怜,我坐在马桶上,左肩膀靠着淋浴房,右肩膀靠着卫生",中立
设施不是一般的差，就是一个招待所。我的毛巾挂在卫生间，等要用的时候，竟然发现上面爬了臭虫。只能把它扔了。餐厅价格也高，一个大葱炒鸡蛋要25元，其他菜可以推想。地段倒是不错，服务态度也还可以，还能够全程刷卡。,消极
"虽然预定比较方便，但是宾馆的对顾客的关怀不足，房间冷得让人睡不着觉服务人员还说暖和的！！！宾馆反馈2008年5月4日：首先感谢您入住汇宾楼,并给我们提出问题.由于五台山的海拔高,气候潮湿温差较大,酒店由于冬天停业,开业后房间的温度夜间可能会有点凉.给您带来的不便酒店深感歉意.",中立
"房间还算干净,卫生间很大,但没有设施。提供的毛巾每人只有一条，还是破的。总体来说不太令人满意。",消极
服务人员素质不高，屡屡出错！明明我为同事预留好的房间，居然不核对姓名就把房卡给了不认识的其他人了。如此低素质的错误！,消极
携程价格360元/间，我看到同时结帐的其他客人是298元。携程告诉我是四星，我看到的是比锦江之星更糟糕的房间，电梯间油漆剥落，浴室不锈钢管锈了，肯定是没有星级的。地方也在一个弄堂里。我住的是1512房间。唯一多的是韩国人进出频繁。建议携程与该酒店好好交涉。我是已经和大堂投诉过了，这样的房间是根本不值360元的价钱的。携程应到酒店实地勘查后再向客人推荐。,中立
